site,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy,vegstack
pt1,1999,67.605858,-156.873687,4,0.159441131169778,0.160130437855468,0.176669117831578,0.176669117831578,0.143557988397452,0.177169251072253,242,sparsegraminoidsparsedryaslichenbarren
pt1,2000,67.605858,-156.873687,5,0.184017658586827,0.195294117647059,0.204483413179065,0.229850489350345,0.163310655655924,0.233731761839969,214,sparsegraminoidsparsedryaslichenbarren
pt1,2001,67.605858,-156.873687,2,0.159655829832547,0.159655829832547,0.180662887840577,0.195861896187373,0.180380800727865,0.211342991646881,213,sparsegraminoidsparsedryaslichenbarren
pt1,2002,67.605858,-156.873687,6,0.211712413821293,0.215809706590767,0.237578016157486,0.237578016157486,0.209900377425557,0.246221796620758,210,sparsegraminoidsparsedryaslichenbarren
pt1,2003,67.605858,-156.873687,2,0.213723541396777,0.213723541396777,0.217352411560382,0.220763531270765,0.209197125762905,0.232329936778624,211,sparsegraminoidsparsedryaslichenbarren
pt1,2004,67.605858,-156.873687,6,0.178414161124628,0.170885949687793,0.200420571506954,0.216064242880438,0.194332547562585,0.226777574956331,213,sparsegraminoidsparsedryaslichenbarren
pt1,2005,67.605858,-156.873687,9,0.212589882661452,0.213634885089232,0.221697811696717,0.223151457201123,0.210725237017977,0.239872959386387,211,sparsegraminoidsparsedryaslichenbarren
pt1,2006,67.605858,-156.873687,7,0.19182175030024,0.190974533252315,0.227220716988107,0.227220716988107,0.193517716958403,0.237725016628696,211,sparsegraminoidsparsedryaslichenbarren
pt1,2007,67.605858,-156.873687,10,0.201445642592777,0.196874451248867,0.220061313082129,0.220061313082129,0.198079714270187,0.248299542983384,212,sparsegraminoidsparsedryaslichenbarren
pt1,2008,67.605858,-156.873687,12,0.211433605747194,0.213515583096853,0.225914469241747,0.225914469241747,0.208720379171269,0.228472190434299,210,sparsegraminoidsparsedryaslichenbarren
pt1,2009,67.605858,-156.873687,7,0.197621850017856,0.214046727173651,0.221943749697109,0.221943749697109,0.174155652567771,0.235112045248953,186,sparsegraminoidsparsedryaslichenbarren
pt1,2010,67.605858,-156.873687,6,0.208382454977791,0.21036329797319,0.227028155964399,0.228566207481126,0.21199856846899,0.229188397139872,185,sparsegraminoidsparsedryaslichenbarren
pt1,2011,67.605858,-156.873687,2,0.228100005943556,0.228100005943556,0.230900866313373,0.230900866313373,0.227148505309598,0.234150656234142,184,sparsegraminoidsparsedryaslichenbarren
pt1,2012,67.605858,-156.873687,2,0.200009457425115,0.200009457425115,0.20069091024848,0.226346256430282,0.204449538510509,0.248242974350056,205,sparsegraminoidsparsedryaslichenbarren
pt1,2013,67.605858,-156.873687,14,0.19842768418978,0.195725635126822,0.225243785947949,0.225243785947949,0.192670700993901,0.237362996664791,200,sparsegraminoidsparsedryaslichenbarren
pt1,2014,67.605858,-156.873687,11,0.195981507409206,0.205409824722239,0.21312562147829,0.233742798506844,0.174843243875763,0.239680560813182,201,sparsegraminoidsparsedryaslichenbarren
pt1,2015,67.605858,-156.873687,6,0.20104093923506,0.188874088052684,0.228022426082006,0.231157371027893,0.194038052592493,0.2342859600379,200,sparsegraminoidsparsedryaslichenbarren
pt1,2016,67.605858,-156.873687,13,0.210489952896531,0.220706757594544,0.230788267312829,0.230788267312829,0.20147298513544,0.24533443632433,202,sparsegraminoidsparsedryaslichenbarren
pt1,2017,67.605858,-156.873687,4,0.200594919209464,0.206396494588852,0.210195058452071,0.227461270568397,0.210254272490508,0.228878353508764,201,sparsegraminoidsparsedryaslichenbarren
pt1,2018,67.605858,-156.873687,2,0.237300674327595,0.237300674327595,0.237398025575433,0.2410535484935,0.240931859433703,0.241175237553297,213,sparsegraminoidsparsedryaslichenbarren
pt1,2019,67.605858,-156.873687,7,0.203841475813248,0.204733727810651,0.225698686395342,0.236230927123026,0.215480327662746,0.257491556103219,213,sparsegraminoidsparsedryaslichenbarren
pt1,2020,67.605858,-156.873687,7,0.211483374133185,0.209764918625678,0.22161514685645,0.235287843324812,0.21406323092428,0.244525016124291,213,sparsegraminoidsparsedryaslichenbarren
pt10,1999,67.603095,-156.871357,4,0.212775021982638,0.209330896913364,0.271036650679631,0.271036650679631,0.212396402838862,0.275590551181102,242,sparsegraminoidsparsedryaslichenbarren
pt10,2000,67.603095,-156.871357,3,0.233944395186469,0.233802816901408,0.237968542693174,0.287029693563084,0.234683120963447,0.287846296634496,220,sparsegraminoidsparsedryaslichenbarren
pt10,2002,67.603095,-156.871357,6,0.279009830292303,0.284914250284049,0.317826295915325,0.317826295915325,0.285138751663561,0.356091526894264,210,sparsegraminoidsparsedryaslichenbarren
pt10,2003,67.603095,-156.871357,3,0.330868575351329,0.330292664386165,0.351518233160749,0.351518233160749,0.307077574206122,0.36015225355153,208,sparsegraminoidsparsedryaslichenbarren
pt10,2004,67.603095,-156.871357,4,0.260196346248944,0.239030879638731,0.314410941387527,0.314410941387527,0.24606629221044,0.346455325595648,206,sparsegraminoidsparsedryaslichenbarren
pt10,2005,67.603095,-156.871357,12,0.306846807371692,0.321414362705976,0.348730276167654,0.348730276167654,0.281426929808319,0.377362530459038,208,sparsegraminoidsparsedryaslichenbarren
pt10,2006,67.603095,-156.871357,4,0.292272537765243,0.29219905536759,0.307377321175659,0.332012630325421,0.28672384258442,0.361934970693648,208,sparsegraminoidsparsedryaslichenbarren
pt10,2007,67.603095,-156.871357,7,0.286014297119922,0.288482877708073,0.322745643258746,0.341145665420181,0.314220416400603,0.348095039030622,202,sparsegraminoidsparsedryaslichenbarren
pt10,2008,67.603095,-156.871357,11,0.322740992215109,0.318860244233379,0.366055715236221,0.366055715236221,0.323713305217805,0.409952110975863,199,sparsegraminoidsparsedryaslichenbarren
pt10,2009,67.603095,-156.871357,5,0.287297296049154,0.263843648208469,0.343900074219553,0.343900074219553,0.302345786185684,0.401954351898196,201,sparsegraminoidsparsedryaslichenbarren
pt10,2010,67.603095,-156.871357,5,0.335246434616045,0.351790612308759,0.363800797322682,0.377124282372073,0.340076925190958,0.430903863652912,200,sparsegraminoidsparsedryaslichenbarren
pt10,2011,67.603095,-156.871357,2,0.314587251190998,0.314587251190998,0.319179642981079,0.375721909541391,0.36998141980379,0.381462399278993,205,sparsegraminoidsparsedryaslichenbarren
pt10,2013,67.603095,-156.871357,7,0.342601257364879,0.361951045998603,0.374572328953299,0.396297030946205,0.342901392732334,0.403573419165518,210,sparsegraminoidsparsedryaslichenbarren
pt10,2014,67.603095,-156.871357,7,0.298536899701868,0.310344827586207,0.385912543293853,0.385912543293853,0.242855925502483,0.407483915465391,207,sparsegraminoidsparsedryaslichenbarren
pt10,2015,67.603095,-156.871357,4,0.328439128914344,0.321776289715378,0.366984659313077,0.366984659313077,0.349771378936194,0.378011610805854,207,sparsegraminoidsparsedryaslichenbarren
pt10,2016,67.603095,-156.871357,12,0.303111897015889,0.300003924467608,0.315515305369859,0.342918631832885,0.297765097094697,0.390104799499631,210,sparsegraminoidsparsedryaslichenbarren
pt10,2017,67.603095,-156.871357,3,0.302492801485511,0.316760224538893,0.326832254019056,0.349349104904132,0.30292193384542,0.361939141754335,221,sparsegraminoidsparsedryaslichenbarren
pt10,2018,67.603095,-156.871357,2,0.388819566293077,0.388819566293077,0.393546485714931,0.393546485714931,0.383253278537037,0.395070577091673,221,sparsegraminoidsparsedryaslichenbarren
pt10,2019,67.603095,-156.871357,7,0.283171243802636,0.282594166624548,0.318802107676216,0.351049122959667,0.30545886593762,0.381992125781553,221,sparsegraminoidsparsedryaslichenbarren
pt10,2020,67.603095,-156.871357,8,0.322886973101744,0.315446242482702,0.376114268255627,0.376114268255627,0.291721203278103,0.408592886018608,221,sparsegraminoidsparsedryaslichenbarren
pt100,1999,67.577284,-156.840526,3,0.192873185161426,0.186582809224319,0.203895739447663,0.204576429478011,0.201806394510153,0.220829300065216,208,openEV ericaceousopenlichendryas
pt100,2000,67.577284,-156.840526,5,0.195040818912464,0.212442091330245,0.216132657766499,0.227644443230253,0.166808680319597,0.245184028838559,208,openEV ericaceousopenlichendryas
pt100,2002,67.577284,-156.840526,7,0.20548951983948,0.206210577389617,0.229252574255071,0.229252574255071,0.184990672757401,0.236474379987569,214,openEV ericaceousopenlichendryas
pt100,2004,67.577284,-156.840526,6,0.196827182640899,0.217039628333981,0.224351328919603,0.23115925446204,0.165971779550853,0.243808093324039,215,openEV ericaceousopenlichendryas
pt100,2005,67.577284,-156.840526,14,0.196419197525421,0.195279713832651,0.215559789049507,0.215559789049507,0.182163354022942,0.256253583106349,214,openEV ericaceousopenlichendryas
pt100,2006,67.577284,-156.840526,6,0.19085212932768,0.203495721074315,0.218819897377861,0.218819897377861,0.195370802234583,0.228701857424215,217,openEV ericaceousopenlichendryas
pt100,2007,67.577284,-156.840526,12,0.218493801799757,0.212429243367441,0.232419440095509,0.2380728315451,0.227755168514617,0.289214968316168,218,openEV ericaceousopenlichendryas
pt100,2008,67.577284,-156.840526,10,0.212195000383255,0.213264454310125,0.246812134242455,0.246812134242455,0.201437890740162,0.265921069172978,219,openEV ericaceousopenlichendryas
pt100,2009,67.577284,-156.840526,8,0.198312127146799,0.173113334116463,0.267736088208611,0.267736088208611,0.19064584094694,0.320424060375792,218,openEV ericaceousopenlichendryas
pt100,2010,67.577284,-156.840526,7,0.211323710102465,0.210852713178295,0.234537831695395,0.247965431273359,0.222170054674535,0.259567910515455,215,openEV ericaceousopenlichendryas
pt100,2011,67.577284,-156.840526,3,0.209503068415691,0.217845659163987,0.221416245717353,0.242817079969888,0.208449839101181,0.247280313161595,219,openEV ericaceousopenlichendryas
pt100,2012,67.577284,-156.840526,2,0.16507101002016,0.16507101002016,0.166528448951115,0.197647771264532,0.181111614109476,0.214183928419588,240,openEV ericaceousopenlichendryas
pt100,2013,67.577284,-156.840526,8,0.207689387373442,0.201658173887572,0.233470174850919,0.233470174850919,0.222002363376135,0.263366936514018,240,openEV ericaceousopenlichendryas
pt100,2014,67.577284,-156.840526,8,0.21112890239111,0.217118621974438,0.227261249640008,0.233807586935225,0.195839516623972,0.244537019864898,205,openEV ericaceousopenlichendryas
pt100,2015,67.577284,-156.840526,4,0.216855191295919,0.213000103168019,0.228080746798708,0.258301620187312,0.237747624223555,0.261193582119079,205,openEV ericaceousopenlichendryas
pt100,2016,67.577284,-156.840526,11,0.239695229428372,0.229844454018549,0.2666950233943,0.2666950233943,0.212996561729939,0.281900655199746,210,openEV ericaceousopenlichendryas
pt100,2017,67.577284,-156.840526,6,0.211137984331352,0.214353144049237,0.224097414222298,0.236943202687285,0.221890373370436,0.257364855401706,203,openEV ericaceousopenlichendryas
pt100,2018,67.577284,-156.840526,2,0.251320137211417,0.251320137211417,0.261998004709026,0.261998004709026,0.244929696137121,0.271624364881142,199,openEV ericaceousopenlichendryas
pt100,2019,67.577284,-156.840526,9,0.219719496529609,0.214974418446684,0.268355526742391,0.268355526742391,0.227751635071536,0.272277348470377,199,openEV ericaceousopenlichendryas
pt100,2020,67.577284,-156.840526,10,0.239773229305594,0.23821657917296,0.268693211498362,0.268693211498362,0.220594687756826,0.290530761995746,199,openEV ericaceousopenlichendryas
pt101,1999,67.577167,-156.839806,3,0.224932392289855,0.234882240611076,0.238570844386391,0.238570844386391,0.205760475158363,0.23949299533022,242,openEV ericaceousopenlichendryas
pt101,2000,67.577167,-156.839806,4,0.210299116786539,0.219480498547642,0.251317402803453,0.251317402803453,0.169267039662439,0.289730287771295,232,openEV ericaceousopenlichendryas
pt101,2002,67.577167,-156.839806,8,0.212384390244733,0.225118938031056,0.229352953682263,0.229352953682263,0.176846777865805,0.256408440347609,214,openEV ericaceousopenlichendryas
pt101,2004,67.577167,-156.839806,5,0.189490301749957,0.190184049079755,0.199182927850593,0.205250226555053,0.181077071083612,0.216355905711135,214,openEV ericaceousopenlichendryas
pt101,2005,67.577167,-156.839806,14,0.200627904747445,0.199085656723417,0.228008072066131,0.228008072066131,0.175796705913559,0.274149277958609,242,openEV ericaceousopenlichendryas
pt101,2006,67.577167,-156.839806,5,0.199242012638133,0.217943865370696,0.21799679192201,0.224019882342375,0.172427106053131,0.224260031283458,217,openEV ericaceousopenlichendryas
pt101,2007,67.577167,-156.839806,11,0.226990672298581,0.222173339199296,0.261170516066841,0.261170516066841,0.212808116700781,0.289374214109657,218,openEV ericaceousopenlichendryas
pt101,2008,67.577167,-156.839806,10,0.196124059837631,0.188398933987719,0.242531325493111,0.242531325493111,0.189596565469259,0.250208783514581,224,openEV ericaceousopenlichendryas
pt101,2009,67.577167,-156.839806,8,0.189046101463786,0.183972378540483,0.226889684442924,0.226889684442924,0.171072579645887,0.264489779489274,220,openEV ericaceousopenlichendryas
