site,latitude,longitude,first.yr,last.year,n.yr.rng,slope,int,tau,pval,total.change,total.change.pcnt,trend.cat,vegstack
pt1,67.605858,-156.873687,2000,2020,21,0.00086,0.21827,0.726,0,0.01806,8.27415586200577,greening,sparsegraminoidsparsedryaslichenbarren
pt10,67.603095,-156.871357,2000,2020,21,0.00323,0.31854,0.346,0.0489,0.06783,21.294029007346,greening,sparsegraminoidsparsedryaslichenbarren
pt100,67.577284,-156.840526,2000,2020,21,0.00208,0.22459,0.386,0.028,0.04368,19.4487733202725,greening,openEV ericaceousopenlichendryas
pt101,67.577167,-156.839806,2000,2020,21,0.00101,0.22969,0.267,0.1628,0.02121,9.23418520614742,no trend,openEV ericaceousopenlichendryas
pt102,67.576722,-156.840254,2000,2020,21,0.00041,0.22906,0.132,0.4838,0.00861,3.75884047847725,no trend,openEV ericaceousopenlichendryas
pt103,67.576908,-156.839931,2000,2020,21,0.00065,0.25494,0.162,0.387,0.01365,5.35420098846787,no trend,openEV ericaceousopenlichendryas
pt104,67.576617,-156.840239,2000,2020,21,0.00041,0.22906,0.132,0.4838,0.00861,3.75884047847725,no trend,openEV ericaceousopenlichendryas
pt105,67.576321,-156.839835,2000,2020,21,0.00149,0.21973,0.338,0.0638,0.03129,14.2402038865881,greening,openEV ericaceousopenlichendryas
pt106,67.575944,-156.83947,2000,2020,21,-8e-05,0.27499,-0.007,1,-0.00168,-0.610931306592967,no trend,openEV ericaceousopenlichendryas
pt107,67.575764,-156.839162,2000,2020,21,-1e-04,0.27532,-0.007,1,-0.0021,-0.762748801394741,no trend,openEV ericaceousopenlichendryas
pt108,67.575402,-156.838703,2000,2020,21,-0.00032,0.337,-0.176,0.3247,-0.00672,-1.99406528189911,no trend,openEV ericaceousopenlichendryas
pt109,67.575025,-156.838153,2000,2020,21,0.00041,0.2941,0.098,0.5959,0.00861,2.92757565453927,no trend,openEV ericaceousopenlichendryas
pt11,67.602981,-156.871076,2000,2020,21,0.0035,0.20581,0.307,0.0814,0.0735,35.7125504105729,greening,sparsegraminoidsparsedryaslichenbarren
pt110,67.574738,-156.838002,2000,2020,21,0.00098,0.33951,-0.018,0.9442,0.02058,6.06167712291243,no trend,openEV ericaceousopenlichendryas
pt111,67.574039,-156.83823,2000,2020,21,0.00454,0.27052,0.485,0.0074,0.09534,35.2432352506284,greening,sparsewhite spruceopenpotentiladryasbarren
pt112,67.574407,-156.837518,2000,2020,21,0.00194,0.35821,0.386,0.028,0.04074,11.3732168281176,greening,sparsewhite spruceopenpotentiladryasbarren
pt113,67.573896,-156.837629,2000,2020,21,0.0025,0.24531,0.647,3e-04,0.0525,21.4014919897273,greening,sparsewhite spruceopenpotentiladryasbarren
pt114,67.57373,-156.836854,2000,2020,21,0.00212,0.24259,0.559,0.002,0.04452,18.3519518529206,greening,sparsewhite spruceopenpotentiladryasbarren
pt115,67.573633,-156.835245,2000,2020,21,0.00108,0.21634,0.176,0.3434,0.02268,10.4834981972821,no trend,sparsewhite spruceopenpotentiladryasbarren
pt116,67.573311,-156.834219,2000,2020,21,0.00028,0.26798,-0.1,0.6204,0.00588,2.19419359653706,no trend,sparsewhite spruceopenpotentiladryasbarren
pt117,67.573231,-156.833929,2000,2020,21,0.00028,0.2682,-0.132,0.4838,0.00588,2.1923937360179,no trend,sparsewhite spruceopenpotentiladryasbarren
pt118,67.573097,-156.83351,2000,2020,21,0.00159,0.22753,0.373,0.0339,0.03339,14.6749879136817,greening,sparsewhite spruceopenpotentiladryasbarren
pt119,67.572805,-156.832032,2000,2020,21,0.00047,0.28318,0.015,0.9671,0.00987,3.48541563669751,no trend,sparsewhite spruceopenpotentiladryasbarren
pt12,67.602747,-156.870826,2000,2020,21,0.00215,0.2238,0.438,0.0124,0.04515,20.1742627345845,greening,sparsegraminoidsparsedryaslichenbarren
pt120,67.572749,-156.831763,2000,2020,21,0.00044,0.28382,0.015,0.9671,0.00924,3.25558452540342,no trend,sparsewhite spruceopenpotentiladryasbarren
pt121,67.572727,-156.831338,2000,2020,21,0.00273,0.33026,0.314,0.1133,0.05733,17.3590504451039,no trend,sparsewhite spruceopenpotentiladryasbarren
pt122,67.572348,-156.830248,2000,2020,21,0.00098,0.29571,0.267,0.1628,0.02058,6.95952115248047,no trend,sparsewhite spruceopenpotentiladryasbarren
pt123,67.572261,-156.829543,2000,2020,21,0.00191,0.24366,0.3,0.1151,0.04011,16.4614626939178,no trend,sparsewhite spruceopenpotentiladryasbarren
pt124,67.571761,-156.828867,2000,2020,21,0.00107,0.1906,0.3,0.1151,0.02247,11.7890870933893,no trend,sparsewhite spruceopenpotentiladryasbarren
pt127,67.571163,-156.826696,2000,2020,21,-0.00052,0.22438,-0.433,0.0217,-0.01092,-4.86674391657011,browning,sparsewhite spruceopenpotentiladryasbarren
pt128,67.570895,-156.8262,2000,2020,21,0.00019,0.2074,-0.044,0.8368,0.00399,1.92381870781099,no trend,sparsewhite spruceopenpotentiladryasbarren
pt13,67.602553,-156.869746,2000,2020,21,0.0027,0.25309,0.382,0.0357,0.0567,22.4030977122763,greening,sparsegraminoidsparsedryaslichenbarren
pt130,67.570203,-156.824913,2000,2020,21,-0.00089,0.29744,-0.176,0.3247,-0.01869,-6.28362022592792,no trend,sparsewhite spruceopenpotentiladryasbarren
pt131,67.570095,-156.824461,2000,2020,21,-0.00182,0.30865,-0.368,0.0301,-0.03822,-12.3829580430909,browning,sparsewhite spruceopenpotentiladryasbarren
pt132,67.57007,-156.824148,2000,2020,21,-0.00186,0.30915,-0.345,0.0424,-0.03906,-12.6346433770015,browning,sparsewhite spruceopenpotentiladryasbarren
pt133,67.569836,-156.822138,2000,2020,21,-0.00241,0.29107,-0.368,0.0435,-0.05061,-17.3875700003436,browning,sparsewhite spruceopenpotentiladryasbarren
pt134,67.569796,-156.821694,2000,2020,21,-0.00018,0.27862,-0.007,1,-0.00378,-1.3566865264518,no trend,sparsewhite spruceopenpotentiladryasbarren
pt135,67.569952,-156.820269,2000,2020,21,-0.00149,0.28582,-0.582,9e-04,-0.03129,-10.9474494437058,browning,sparsewhite spruceopenpotentiladryasbarren
pt136,67.570015,-156.818963,2000,2020,21,-0.00107,0.26749,-0.132,0.4838,-0.02247,-8.40031403043104,no trend,sparsewhite spruceopenpotentiladryasbarren
pt137,67.569836,-156.818184,2000,2020,21,0.00198,0.30456,0.279,0.1275,0.04158,13.6524822695035,no trend,sparsewhite spruceopenpotentiladryasbarren
pt138,67.569763,-156.821356,2000,2020,21,-0.00018,0.27864,0.02,0.9396,-0.00378,-1.35658914728682,no trend,sparsewhite spruceopenpotentiladryasbarren
pt139,67.569418,-156.81864,2000,2020,21,0.00079,0.38467,0.397,0.029,0.01659,4.31278758416305,greening,sparsewhite spruceopenpotentiladryasbarren
pt14,67.602166,-156.870143,2000,2020,21,0.0032,0.35455,0.438,0.0124,0.0672,18.9536031589339,greening,sparsegraminoidsparsedryaslichenbarren
pt140,67.569707,-156.818245,2000,2020,21,-0.00084,0.35422,-0.147,0.4338,-0.01764,-4.97995595957315,no trend,sparsewhite spruceopenpotentiladryasbarren
pt141,67.569305,-156.818665,2000,2020,21,0.00077,0.38525,0.368,0.0435,0.01617,4.19727449707982,greening,sparsewhite spruceopenpotentiladryasbarren
pt142,67.568709,-156.818282,2000,2020,21,0.00046,0.19545,0.132,0.4838,0.00966,4.9424405218726,no trend,sparsesheperdiasparsedryasbarren
pt143,67.568645,-156.818076,2000,2020,21,0.00064,0.21852,0.118,0.5366,0.01344,6.15046677649643,no trend,sparsesheperdiasparsedryasbarren
pt144,67.568836,-156.816396,2000,2020,21,0.0033,0.18221,0.633,7e-04,0.0693,38.033038801383,greening,sparsesheperdiasparsedryasbarren
pt145,67.568811,-156.815081,2000,2020,21,0.00753,0.12387,0.544,0.0026,0.15813,127.658028578348,greening,closedwillowclosedwillowalluvium
pt146,67.56855,-156.813896,2005,2020,16,0.00187,0.15456,0.692,0.0012,0.02992,19.3581780538302,greening,closedwillowclosedwillowalluvium
pt147,67.56843,-156.813623,2005,2020,16,0.00245,0.14969,0.744,5e-04,0.0392,26.1874540717483,greening,closedwillowclosedwillowalluvium
pt148,67.568319,-156.813309,2000,2020,21,0.00359,0.1629,0.45,0.017,0.07539,46.279926335175,greening,closedwillowclosedwillowalluvium
pt149,67.568013,-156.812237,2000,2020,21,0.00271,0.2591,0.267,0.1628,0.05691,21.9644924739483,no trend,closedwillowclosedwillowalluvium
pt15,67.602303,-156.868939,2000,2020,21,0.0014,0.19089,0.268,0.1297,0.0294,15.4015401540154,no trend,sparsegraminoidsparsedryaslichenbarren
pt150,67.567678,-156.81143,2000,2020,21,0.00371,0.28983,0.433,0.0217,0.07791,26.8812752303074,greening,closedwillowclosedwillowalluvium
